dataset,frame_idx,img_name,track_id,action,action_conf,det_conf,buf_size
fanning,36,20230609c_00264.jpg,178,buffering,0.0,0.9225564002990723,2
fanning,37,20230609c_00265.jpg,146,fanning,0.5577332377433777,0.9393541216850281,9
fanning,37,20230609c_00265.jpg,158,neutral,0.9758802652359009,0.9336848855018616,7
fanning,37,20230609c_00265.jpg,178,buffering,0.0,0.9263719916343689,3
fanning,38,20230609c_00266.jpg,146,fanning,0.7451233267784119,0.9405176639556885,10
fanning,38,20230609c_00266.jpg,158,neutral,0.9640986919403076,0.9384363293647766,8
fanning,38,20230609c_00266.jpg,178,neutral,0.99965500831604,0.9382225871086121,4
fanning,38,20230609c_00266.jpg,187,buffering,0.0,0.9361408352851868,1
fanning,38,20230609c_00266.jpg,188,buffering,0.0,0.9287128448486328,1
fanning,39,20230609c_00267.jpg,158,neutral,0.9041572213172913,0.9400781989097595,9
fanning,39,20230609c_00267.jpg,178,neutral,0.9995403289794922,0.9385779500007629,5
fanning,39,20230609c_00267.jpg,146,fanning,0.8370756506919861,0.935297429561615,11
fanning,39,20230609c_00267.jpg,187,buffering,0.0,0.9311206936836243,2
fanning,39,20230609c_00267.jpg,191,buffering,0.0,0.9196319580078125,1
fanning,40,20230609c_00268.jpg,178,neutral,0.999160885810852,0.947155237197876,6
fanning,40,20230609c_00268.jpg,158,neutral,0.8463752865791321,0.9413326978683472,10
fanning,40,20230609c_00268.jpg,146,fanning,0.8891590237617493,0.9380588531494141,12
fanning,40,20230609c_00268.jpg,187,buffering,0.0,0.9255414605140686,3
fanning,40,20230609c_00268.jpg,188,buffering,0.0,0.9088693857192993,2
fanning,41,20230609c_00269.jpg,178,neutral,0.9983481168746948,0.9429013729095459,7
fanning,41,20230609c_00269.jpg,187,neutral,0.7627724409103394,0.9367093443870544,4
fanning,41,20230609c_00269.jpg,146,fanning,0.9456124305725098,0.9249643683433533,13
fanning,41,20230609c_00269.jpg,158,neutral,0.8113297820091248,0.9230123162269592,11
fanning,41,20230609c_00269.jpg,202,buffering,0.0,0.9121508598327637,1
fanning,42,20230609c_00270.jpg,178,neutral,0.9923546314239502,0.9477381110191345,8
fanning,42,20230609c_00270.jpg,158,neutral,0.781141459941864,0.9279980659484863,12
fanning,42,20230609c_00270.jpg,210,buffering,0.0,0.9241094589233398,1
fanning,42,20230609c_00270.jpg,187,neutral,0.6726096272468567,0.923401951789856,5
fanning,42,20230609c_00270.jpg,146,fanning,0.9533864259719849,0.9216544032096863,14
fanning,43,20230609c_00271.jpg,178,neutral,0.728736400604248,0.9444049596786499,9
fanning,43,20230609c_00271.jpg,158,neutral,0.6851657629013062,0.9274224042892456,13
fanning,43,20230609c_00271.jpg,222,buffering,0.0,0.9248114824295044,1
fanning,43,20230609c_00271.jpg,146,fanning,0.9401715993881226,0.9154490232467651,15
fanning,44,20230609c_00272.jpg,222,buffering,0.0,0.9272774457931519,2
fanning,44,20230609c_00272.jpg,202,buffering,0.0,0.9250134825706482,2
fanning,44,20230609c_00272.jpg,228,buffering,0.0,0.923991858959198,1
fanning,44,20230609c_00272.jpg,187,uncertain,0.5475833415985107,0.917786180973053,6
fanning,44,20230609c_00272.jpg,158,uncertain,0.5109146237373352,0.9156989455223083,14
fanning,44,20230609c_00272.jpg,234,buffering,0.0,0.9065982103347778,1
fanning,45,20230609c_00273.jpg,238,buffering,0.0,0.9363892078399658,1
fanning,45,20230609c_00273.jpg,222,buffering,0.0,0.9241055846214294,3
fanning,45,20230609c_00273.jpg,146,fanning,0.9383475184440613,0.9131478667259216,16
fanning,45,20230609c_00273.jpg,246,buffering,0.0,0.9112461805343628,1
fanning,45,20230609c_00273.jpg,158,fanning,0.784513533115387,0.9101451635360718,15
fanning,45,20230609c_00273.jpg,187,fanning,0.6682049632072449,0.9073482751846313,7
fanning,45,20230609c_00273.jpg,243,buffering,0.0,0.900958776473999,1
fanning,45,20230609c_00273.jpg,234,buffering,0.0,0.8230471611022949,2
fanning,46,20230609c_00274.jpg,248,buffering,0.0,0.9400042295455933,1
fanning,46,20230609c_00274.jpg,238,buffering,0.0,0.9342973232269287,2
fanning,46,20230609c_00274.jpg,146,fanning,0.9120216369628906,0.9045487642288208,16
fanning,46,20230609c_00274.jpg,158,fanning,0.8427131175994873,0.9018952250480652,16
fanning,47,20230609c_00275.jpg,248,buffering,0.0,0.9344024062156677,2
fanning,47,20230609c_00275.jpg,238,buffering,0.0,0.929645299911499,3
fanning,47,20230609c_00275.jpg,160,buffering,0.0,0.9153634905815125,2
fanning,47,20230609c_00275.jpg,146,fanning,0.9064728617668152,0.9142606854438782,16
fanning,47,20230609c_00275.jpg,158,fanning,0.8119481801986694,0.9002268314361572,16
fanning,47,20230609c_00275.jpg,111,buffering,0.0,0.9000190496444702,2
fanning,47,20230609c_00275.jpg,234,buffering,0.0,0.8610103130340576,3
fanning,47,20230609c_00275.jpg,268,buffering,0.0,0.8511563539505005,1
fanning,48,20230609c_00276.jpg,238,neutral,0.9983991980552673,0.9239168763160706,4
fanning,48,20230609c_00276.jpg,248,buffering,0.0,0.9212279915809631,3
fanning,48,20230609c_00276.jpg,272,buffering,0.0,0.9206700921058655,1
fanning,48,20230609c_00276.jpg,146,fanning,0.8666676878929138,0.9160588979721069,16
fanning,48,20230609c_00276.jpg,77,buffering,0.0,0.8762838840484619,3
fanning,48,20230609c_00276.jpg,158,fanning,0.7022910118103027,0.8591764569282532,16
fanning,48,20230609c_00276.jpg,234,trophallaxis,0.6855818033218384,0.8539288640022278,4
fanning,49,20230609c_00277.jpg,238,neutral,0.9979348182678223,0.926426351070404,5
fanning,49,20230609c_00277.jpg,285,buffering,0.0,0.9073132276535034,1
fanning,49,20230609c_00277.jpg,158,fanning,0.6183823943138123,0.9044667482376099,16
fanning,49,20230609c_00277.jpg,202,buffering,0.0,0.8917388916015625,3
fanning,49,20230609c_00277.jpg,187,fanning,0.8638321757316589,0.8894983530044556,8
fanning,49,20230609c_00277.jpg,234,trophallaxis,0.8347219824790955,0.8200395107269287,5
fanning,50,20230609c_00278.jpg,187,fanning,0.8366326689720154,0.9083395004272461,9
fanning,50,20230609c_00278.jpg,234,trophallaxis,0.9959536790847778,0.8974658846855164,6
fanning,50,20230609c_00278.jpg,158,fanning,0.6007358431816101,0.8914989233016968,16
fanning,51,20230609c_00279.jpg,298,buffering,0.0,0.9386800527572632,1
fanning,51,20230609c_00279.jpg,111,buffering,0.0,0.9182570576667786,3
fanning,51,20230609c_00279.jpg,187,fanning,0.9568732380867004,0.9139029383659363,10
fanning,51,20230609c_00279.jpg,158,uncertain,0.5130987167358398,0.8820233941078186,16
fanning,51,20230609c_00279.jpg,234,trophallaxis,0.998248815536499,0.876806914806366,7
fanning,52,20230609c_00280.jpg,311,buffering,0.0,0.9490026235580444,1
fanning,52,20230609c_00280.jpg,298,buffering,0.0,0.9441771507263184,2
fanning,52,20230609c_00280.jpg,158,uncertain,0.5089461803436279,0.9191969633102417,16
fanning,52,20230609c_00280.jpg,187,fanning,0.9853246808052063,0.9096965789794922,11
fanning,52,20230609c_00280.jpg,234,trophallaxis,0.9986324906349182,0.8523143529891968,8
fanning,53,20230609c_00281.jpg,298,buffering,0.0,0.9444787502288818,3
fanning,53,20230609c_00281.jpg,311,buffering,0.0,0.9332855939865112,2
fanning,53,20230609c_00281.jpg,187,fanning,0.9909727573394775,0.9297954440116882,12
fanning,53,20230609c_00281.jpg,158,fanning,0.7343977093696594,0.9289268255233765,16
fanning,53,20230609c_00281.jpg,326,buffering,0.0,0.927608847618103,1
fanning,53,20230609c_00281.jpg,228,buffering,0.0,0.9214158654212952,2
fanning,53,20230609c_00281.jpg,246,buffering,0.0,0.8887266516685486,2
fanning,53,20230609c_00281.jpg,234,trophallaxis,0.9987069368362427,0.8799003958702087,9
fanning,54,20230609c_00282.jpg,298,neutral,0.9983226656913757,0.9412952661514282,4
fanning,54,20230609c_00282.jpg,311,buffering,0.0,0.9349296689033508,3
fanning,54,20230609c_00282.jpg,272,buffering,0.0,0.9331968426704407,2
fanning,54,20230609c_00282.jpg,187,fanning,0.9931938052177429,0.9326053857803345,13
fanning,54,20230609c_00282.jpg,158,fanning,0.7411871552467346,0.92989581823349,16
fanning,54,20230609c_00282.jpg,326,buffering,0.0,0.9236308932304382,2
fanning,54,20230609c_00282.jpg,146,fanning,0.9980013966560364,0.9136664271354675,16
fanning,55,20230609c_00283.jpg,349,buffering,0.0,0.9454785585403442,1
fanning,55,20230609c_00283.jpg,298,neutral,0.9964644908905029,0.9445345997810364,5
fanning,55,20230609c_00283.jpg,311,neutral,0.9996656179428101,0.937542200088501,4
fanning,55,20230609c_00283.jpg,191,buffering,0.0,0.9359461069107056,2
fanning,55,20230609c_00283.jpg,326,buffering,0.0,0.9338696002960205,3
fanning,55,20230609c_00283.jpg,158,fanning,0.6016480326652527,0.9282850027084351,16
fanning,55,20230609c_00283.jpg,187,fanning,0.9805132150650024,0.9158216714859009,14
fanning,55,20230609c_00283.jpg,234,trophallaxis,0.9948838353157043,0.8757645487785339,10
fanning,56,20230609c_00284.jpg,298,neutral,0.984298586845398,0.9517768621444702,6
fanning,56,20230609c_00284.jpg,311,neutral,0.9995588660240173,0.9319968223571777,5
fanning,56,20230609c_00284.jpg,158,fanning,0.5737545490264893,0.9268049597740173,16
fanning,56,20230609c_00284.jpg,187,fanning,0.9814696311950684,0.90998375415802,15
fanning,56,20230609c_00284.jpg,234,uncertain,0.521237850189209,0.9009294509887695,11
fanning,56,20230609c_00284.jpg,366,buffering,0.0,0.8700575828552246,1
fanning,57,20230609c_00285.jpg,298,neutral,0.9693079590797424,0.9420657753944397,7
fanning,57,20230609c_00285.jpg,311,neutral,0.997892439365387,0.9334717988967896,6
fanning,57,20230609c_00285.jpg,158,fanning,0.5622620582580566,0.9265210032463074,16
fanning,57,20230609c_00285.jpg,379,buffering,0.0,0.9208453297615051,1
fanning,57,20230609c_00285.jpg,376,buffering,0.0,0.9194486141204834,1
fanning,57,20230609c_00285.jpg,243,buffering,0.0,0.9131594896316528,2
fanning,57,20230609c_00285.jpg,384,buffering,0.0,0.9075724482536316,1
fanning,57,20230609c_00285.jpg,234,fanning,0.9610181450843811,0.906371533870697,12
fanning,57,20230609c_00285.jpg,187,fanning,0.951598584651947,0.897683322429657,16
fanning,57,20230609c_00285.jpg,382,buffering,0.0,0.873852550983429,1
fanning,58,20230609c_00286.jpg,372,buffering,0.0,0.943327009677887,1
fanning,58,20230609c_00286.jpg,298,neutral,0.9590345621109009,0.9430417418479919,8
fanning,58,20230609c_00286.jpg,158,uncertain,0.5308492183685303,0.9339561462402344,16
fanning,58,20230609c_00286.jpg,393,buffering,0.0,0.9290925860404968,1
fanning,58,20230609c_00286.jpg,243,buffering,0.0,0.9195702075958252,3
fanning,58,20230609c_00286.jpg,382,buffering,0.0,0.9162988662719727,2
fanning,58,20230609c_00286.jpg,111,neutral,0.9922163486480713,0.9044703841209412,4
fanning,58,20230609c_00286.jpg,384,buffering,0.0,0.8838478326797485,2
fanning,58,20230609c_00286.jpg,187,fanning,0.8493914008140564,0.8823569416999817,16
fanning,58,20230609c_00286.jpg,234,fanning,0.9745231866836548,0.8736708164215088,13
fanning,59,20230609c_00287.jpg,372,buffering,0.0,0.9430012106895447,2
fanning,59,20230609c_00287.jpg,164,buffering,0.0,0.9409865140914917,2
fanning,59,20230609c_00287.jpg,243,neutral,0.9873515367507935,0.9342219829559326,4
fanning,59,20230609c_00287.jpg,158,uncertain,0.5167251825332642,0.9339774250984192,16
fanning,59,20230609c_00287.jpg,376,buffering,0.0,0.9278666973114014,2
fanning,59,20230609c_00287.jpg,400,buffering,0.0,0.9274665713310242,1
fanning,59,20230609c_00287.jpg,382,buffering,0.0,0.9255397319793701,3
fanning,59,20230609c_00287.jpg,399,buffering,0.0,0.904392421245575,1
fanning,59,20230609c_00287.jpg,384,buffering,0.0,0.8964311480522156,3
fanning,59,20230609c_00287.jpg,234,fanning,0.9907358288764954,0.8775712847709656,14
fanning,59,20230609c_00287.jpg,187,fanning,0.5547305941581726,0.81888347864151,16
